T,PD_1_0,PD_2_1,PD_2_2,PD_2_3,PD_2_4,PD_3_5,PD_3_6,PD_3_7,PD_3_8,PD_3_9,PD_3_10,PD_3_11,PD_3_12,PD_4_13,PD_4_14,PD_4_15,PD_4_16,PD_4_17,PD_4_18,PD_4_19,PD_4_20,QD_1_0,QD_2_1,QD_2_2,QD_2_3,QD_2_4,QD_3_5,QD_3_6,QD_3_7,QD_3_8,QD_3_9,QD_3_10,QD_3_11,QD_3_12,QD_4_13,QD_4_14,QD_4_15,QD_4_16,QD_4_17,QD_4_18,QD_4_19,QD_4_20,PV_2_0,PV_4_1,Load_scale,Irrad,pt,Delta_t,,,
1,27.307612,23.924368,26.824292,21.507766,27.065952,24.89101,21.991086,26.099311,25.61599,19.332823,24.407689,25.37433,28.032593,28.032593,25.37433,25.61599,25.13267,20.782785,20.782785,21.024445,21.266105,17.944231,15.721052,17.626634,14.133067,17.785433,16.356246,14.450664,17.150239,16.832642,12.703881,16.038649,16.673843,18.420627,18.420627,16.673843,16.832642,16.515045,13.656672,13.656672,13.81547,13.974269,0.0000,0.0000,0.6243,0,0.06243,1,,,
2,26.310314,23.050629,25.844644,20.722283,26.077479,23.981967,21.187952,25.146141,24.680471,18.626771,23.516298,24.447637,27.008818,27.008818,24.447637,24.680471,24.214802,20.023779,20.023779,20.256613,20.489448,17.288892,15.146905,16.982894,13.616915,17.135893,15.758902,13.922913,16.523897,16.217899,12.239923,15.452903,16.0649,17.747889,17.747889,16.0649,16.217899,15.911901,13.157918,13.157918,13.310917,13.463916,0.0000,0.0000,0.6015,0,0.06015,1,,,
3,25.033072,21.931629,24.590008,19.716313,24.81154,22.817756,20.159376,23.925414,23.48235,17.722529,22.374692,23.260819,25.697666,25.697666,23.260819,23.48235,23.039287,19.051718,19.051718,19.27325,19.494781,16.449597,14.411594,16.158454,12.955878,16.304026,14.993881,13.247021,15.721739,15.430596,11.645733,14.702738,15.285024,16.886312,16.886312,15.285024,15.430596,15.139453,12.519163,12.519163,12.664734,12.810306,0.0000,0.0000,0.5723,0,0.05723,1,,,
4,23.0341,20.180318,22.626417,18.141902,22.830259,20.995684,18.549585,22.014892,21.607209,16.307328,20.588001,21.403367,23.645625,23.645625,21.403367,21.607209,21.199526,17.530377,17.530377,17.734219,17.93806,15.136044,13.260782,14.868149,11.921309,15.002097,13.796571,12.189204,14.466308,14.198413,10.715783,13.528677,14.064466,15.537886,15.537886,14.064466,14.198413,13.930518,11.519467,11.519467,11.653414,11.787362,0.0000,0.0000,0.5266,0,0.05266,1,,,
5,24.044521,21.065554,23.618954,18.93772,23.831738,21.916687,19.363287,22.980604,22.555038,17.02267,21.491121,22.342254,24.682871,24.682871,22.342254,22.555038,22.129471,18.29937,18.29937,18.512153,18.724937,15.800006,13.842484,15.52036,12.444253,15.660183,14.401776,12.723899,15.100891,14.821245,11.185845,14.12213,14.681422,16.219476,16.219476,14.681422,14.821245,14.541599,12.024784,12.024784,12.164607,12.30443,0.0000,0.0000,0.5497,0,0.05497,1,,,
6,26.765222,23.449177,26.291501,21.080573,26.528362,24.396618,21.554294,25.58092,25.107199,18.94883,23.922897,24.870339,27.475803,27.475803,24.870339,25.107199,24.633479,20.369992,20.369992,20.606852,20.843713,17.587819,15.408797,17.27653,13.852353,17.432174,16.031375,14.163642,16.809597,16.498308,12.451553,15.720086,16.342663,18.054752,18.054752,16.342663,16.498308,16.187019,13.38542,13.38542,13.541064,13.696708,0.0000,0.0000,0.6119,0.1,0.06119,1,,,
7,26.913942,23.579471,26.437589,21.197706,26.675765,24.532177,21.674059,25.72306,25.246707,19.054118,24.055824,25.00853,27.628471,27.628471,25.00853,25.246707,24.770354,20.483177,20.483177,20.721353,20.95953,17.685545,15.494415,17.372526,13.929323,17.529036,16.120452,14.242341,16.902999,16.58998,12.52074,15.807434,16.433471,18.155073,18.155073,16.433471,16.58998,16.276962,13.459795,13.459795,13.616304,13.772814,0.1748,0.0000,0.6153,0.3,0.06153,1,,,
8,28.348652,24.83643,27.846906,22.3277,28.097779,25.839922,22.829446,27.094287,26.592541,20.069842,25.338176,26.341668,29.101271,29.101271,26.341668,26.592541,26.090795,21.57508,21.57508,21.825954,22.076827,18.628314,16.320381,18.298609,14.671858,18.463462,16.979791,15.001563,17.804052,17.474348,13.188187,16.650086,17.309495,19.122871,19.122871,17.309495,17.474348,17.144643,14.177301,14.177301,14.342153,14.507006,9.2044,1.6224,0.6481,0.5,0.06481,1,,,
9,30.500718,26.721868,29.960882,24.022689,30.2308,27.801539,24.562525,29.151129,28.611293,21.593429,27.261704,28.341375,31.310471,31.310471,28.341375,28.611293,28.071457,23.212936,23.212936,23.482854,23.752771,20.042468,17.55933,19.687734,15.78566,19.865101,18.268798,16.140394,19.155633,18.800899,14.189358,17.914064,18.623532,20.574569,20.574569,18.623532,18.800899,18.446165,15.25356,15.25356,15.430926,15.608293,13.3540,11.3007,0.6973,0.6,0.06973,1,,,
10,35.080418,30.734172,34.459526,27.62971,34.769972,31.975957,28.250602,33.528187,32.907295,24.835694,31.355064,32.596849,36.011757,36.011757,32.596849,32.907295,32.286403,26.698371,26.698371,27.008818,27.319264,23.051856,20.195874,22.643858,18.155887,22.847857,21.011869,18.563884,22.031862,21.623865,16.319898,20.603871,21.419866,23.663852,23.663852,21.419866,21.623865,21.215867,17.54389,17.54389,17.747889,17.951888,16.3504,16.2238,0.802,0.7,0.0802,1,,,
